Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Provider,Category,Population,Fast Food Density
69735,R & S Food Market,35.006,-90.045,"565 E Holmes Road, Memphis, TN, 38109",565 E Holmes Road,Memphis,TN,38109,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
69673,Fast Check,35.0516,-89.9104,"4580 Winchester Rd, Memphis, TN, 38118",4580 Winchester Rd,Memphis,TN,38118,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
70838,Raceway 6866 (Chattanooga),35.028238,-85.316378,"2528 Broad Street, Chattanooga, TN, 37408",2528 Broad Street,Chattanooga,TN,37408,Hamilton,Hunt Brothers Pizza,Food Chains,369135.0,0.00093732645238192
77445,96 Food Mart,35.9046,-86.3318,"3229 Lascassas Pike, Murfreesboro, TN, 37130",3229 Lascassas Pike,Murfreesboro,TN,37130,Rutherford,Hunt Brothers Pizza,Food Chains,352182.0,0.0008319562044624654
8373,Stage Rd Gas And Gro,35.2034,-89.8222,"7245 Stage Rd, Memphis, TN, 38133",7245 Stage Rd,Memphis,TN,38133,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
54728,Sudden Service #0025,36.5272,-87.2176,"601 Hornbuckle Rd, Clarksville, TN, 37043",601 Hornbuckle Rd,Clarksville,TN,37043,Montgomery,Hunt Brothers Pizza,Food Chains,227900.0,0.0007591048705572619
62076,Fill-N-Save,35.022,-90.086,"4670 S Third, Memphis, TN, 38128",4670 S Third,Memphis,TN,38128,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
86158,Kwik N Eazy Market,36.1903,-86.2739,"1140 Sparta Pike, Lebanon, TN, 37087",1140 Sparta Pike,Lebanon,TN,37087,Wilson,Hunt Brothers Pizza,Food Chains,151917.0,0.0008754780570969674
74679,Nana Market,35.2074,-89.9937,"3004 Overton Crossing, Murfreesboro, TN, 37127",3004 Overton Crossing,Murfreesboro,TN,37127,Rutherford,Hunt Brothers Pizza,Food Chains,352182.0,0.0008319562044624654
54701,Robertson Ave Market,36.1574,-86.8767,"6229 Robertson Ave, Nashville, TN, 37209",6229 Robertson Ave,Nashville,TN,37209,Davidson,Hunt Brothers Pizza,Food Chains,703953.0,0.000869376222560313
66837,Country Market & Deli,35.8061,-86.6623,"8402 Horton Hwy, College Grove, TN, 37046",8402 Horton Hwy,College Grove,TN,37046,Williamson,Hunt Brothers Pizza,Food Chains,255735.0,0.0009345611668328544
66853,Eagleville Grocery,35.7289,-86.6436,"1005 S Main St, Eagleville, TN, 37060",1005 S Main St,Eagleville,TN,37060,Rutherford,Hunt Brothers Pizza,Food Chains,352182.0,0.0008319562044624654
76071,Gallaway Store Llc,35.3245,-89.6251,"820 Hwy 70, Arlington, TN, 38002",820 Hwy 70,Arlington,TN,38002,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
70619,Well Station Food Mart,35.1717,-89.9166,"1470 Wells Station Rd, Memphis, TN, 38108",1470 Wells Station Rd,Memphis,TN,38108,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
69645,Double A Market,35.0344,-89.8318,"4219 Riverdale Rd, Memphis, TN, 38141",4219 Riverdale Rd,Memphis,TN,38141,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
